2025-07-21 11:24:21,759 - INFO - Settings loaded from C:/Users/kiran/OneDrive/Desktop/ProSuiteCheat/config/FPS.json
2025-07-21 11:24:29,242 - INFO - Closing...
2025-07-21 11:30:21,147 - INFO - Detected screen resolution: 1920x1080
2025-07-21 11:30:37,588 - INFO - Closing...
2025-07-21 11:33:15,215 - INFO - Detected screen resolution: 1920x1080
2025-07-21 11:33:22,464 - INFO - Closing...
2025-07-21 11:34:55,766 - INFO - Detected screen resolution: 1920x1080
2025-07-21 11:35:00,368 - INFO - Closing...
2025-07-21 12:43:13,154 - INFO - Detected screen resolution: 1920x1080
2025-07-21 12:43:14,498 - INFO - Performance: Frame 1000, Prediction: False
2025-07-21 12:43:15,531 - INFO - Performance: Frame 2000, Prediction: False
2025-07-21 12:43:16,550 - INFO - Performance: Frame 3000, Prediction: False
2025-07-21 12:43:17,573 - INFO - Performance: Frame 4000, Prediction: False
2025-07-21 12:43:18,590 - INFO - Performance: Frame 5000, Prediction: False
2025-07-21 12:43:18,815 - INFO - Closing...
2025-07-21 12:43:27,691 - INFO - Detected screen resolution: 1920x1080
2025-07-21 12:44:04,103 - ERROR - Error applying settings: name 'sip' is not defined
2025-07-21 12:44:04,146 - INFO - Settings loaded from C:/Users/kiran/OneDrive/Desktop/ProSuiteCheat/config/FPS.json
2025-07-21 12:44:12,827 - ERROR - Error applying settings: name 'sip' is not defined
2025-07-21 12:44:12,861 - INFO - Settings loaded from C:/Users/kiran/OneDrive/Desktop/ProSuiteCheat/config/FPS.json
2025-07-21 12:44:14,110 - INFO - Closing...
2025-07-21 12:44:26,804 - INFO - Detected screen resolution: 1920x1080
2025-07-21 12:44:28,042 - INFO - Performance: Frame 1000, Prediction: False
2025-07-21 12:44:29,045 - INFO - Performance: Frame 2000, Prediction: False
2025-07-21 12:44:30,046 - INFO - Performance: Frame 3000, Prediction: False
2025-07-21 12:44:31,618 - INFO - Performance: Frame 4000, Prediction: False
2025-07-21 12:44:32,840 - INFO - Performance: Frame 5000, Prediction: False
2025-07-21 12:44:34,099 - INFO - Performance: Frame 6000, Prediction: False
2025-07-21 12:44:35,313 - INFO - Bind UI updated for aim to RIGHT CLICK
2025-07-21 12:44:35,346 - INFO - Settings loaded from C:/Users/kiran/OneDrive/Desktop/ProSuiteCheat/config/FPS.json
2025-07-21 12:44:36,569 - INFO - Closing...
2025-07-21 12:45:41,387 - INFO - Detected screen resolution: 1920x1080
2025-07-21 12:45:50,871 - INFO - Bind UI updated for aim to RIGHT CLICK
2025-07-21 12:45:50,910 - INFO - Settings loaded from C:/Users/kiran/OneDrive/Desktop/ProSuiteCheat/config/FPS.json
2025-07-21 12:51:32,278 - INFO - Closing...
2025-07-21 12:51:38,121 - INFO - Detected screen resolution: 1920x1080
2025-07-21 12:51:39,537 - INFO - Performance: Frame 1000, Prediction: False
2025-07-21 12:51:40,547 - INFO - Performance: Frame 2000, Prediction: False
2025-07-21 12:51:41,557 - INFO - Performance: Frame 3000, Prediction: False
2025-07-21 12:51:42,570 - INFO - Performance: Frame 4000, Prediction: False
2025-07-21 12:51:43,579 - INFO - Performance: Frame 5000, Prediction: False
2025-07-21 12:51:45,297 - INFO - Performance: Frame 6000, Prediction: False
2025-07-21 12:51:46,623 - INFO - Performance: Frame 7000, Prediction: False
2025-07-21 12:51:47,959 - INFO - Bind UI updated for aim to RIGHT CLICK
2025-07-21 12:51:47,996 - INFO - Settings loaded from C:/Users/kiran/OneDrive/Desktop/ProSuiteCheat/config/FPS.json
2025-07-21 12:51:51,648 - INFO - Performance: Frame 8000, Prediction: False
2025-07-21 12:52:03,578 - INFO - Performance: Frame 9000, Prediction: False
2025-07-21 12:52:04,698 - INFO - Closing...
2025-07-21 12:56:13,894 - INFO - Detected screen resolution: 1920x1080
2025-07-21 12:56:15,176 - INFO - Performance: Frame 1000, Prediction: False
2025-07-21 12:56:16,192 - INFO - Performance: Frame 2000, Prediction: False
2025-07-21 12:56:17,202 - INFO - Performance: Frame 3000, Prediction: False
2025-07-21 12:56:18,907 - INFO - Performance: Frame 4000, Prediction: False
2025-07-21 12:56:20,162 - INFO - Performance: Frame 5000, Prediction: False
2025-07-21 12:56:21,444 - INFO - Performance: Frame 6000, Prediction: False
2025-07-21 12:56:22,602 - INFO - Performance: Frame 7000, Prediction: False
2025-07-21 12:56:24,074 - INFO - Performance: Frame 8000, Prediction: False
2025-07-21 12:56:25,618 - INFO - Performance: Frame 9000, Prediction: False
2025-07-21 12:56:26,683 - INFO - Bind UI updated for aim to RIGHT CLICK
2025-07-21 12:56:26,719 - INFO - Settings loaded from C:/Users/kiran/OneDrive/Desktop/ProSuiteCheat/config/FPS.json
2025-07-21 12:56:32,329 - INFO - Performance: Frame 10000, Prediction: False
2025-07-21 12:56:44,868 - INFO - Performance: Frame 11000, Prediction: False
2025-07-21 12:56:46,834 - INFO - Bind UI updated for aim to E
2025-07-21 12:56:55,299 - INFO - Performance: Frame 12000, Prediction: False
2025-07-21 12:57:05,643 - INFO - Performance: Frame 13000, Prediction: False
2025-07-21 12:57:16,826 - INFO - Performance: Frame 14000, Prediction: False
2025-07-21 12:57:26,182 - INFO - Performance: Frame 15000, Prediction: False
2025-07-21 12:57:36,261 - INFO - Performance: Frame 16000, Prediction: False
2025-07-21 12:57:46,276 - INFO - Performance: Frame 17000, Prediction: False
2025-07-21 12:57:56,350 - INFO - Performance: Frame 18000, Prediction: False
2025-07-21 12:58:06,781 - INFO - Performance: Frame 19000, Prediction: False
2025-07-21 12:58:18,507 - INFO - Performance: Frame 20000, Prediction: False
2025-07-21 12:58:28,585 - INFO - Performance: Frame 21000, Prediction: False
2025-07-21 12:58:38,545 - INFO - Performance: Frame 22000, Prediction: False
2025-07-21 12:58:49,832 - INFO - Bind UI updated for aim to RIGHT CLICK
2025-07-21 12:58:50,654 - INFO - Performance: Frame 23000, Prediction: False
2025-07-21 12:59:00,949 - INFO - Performance: Frame 24000, Prediction: False
2025-07-21 12:59:12,065 - INFO - Performance: Frame 25000, Prediction: False
2025-07-21 12:59:21,847 - INFO - Performance: Frame 26000, Prediction: False
2025-07-21 12:59:31,620 - INFO - Performance: Frame 27000, Prediction: False
2025-07-21 12:59:43,084 - INFO - Performance: Frame 28000, Prediction: False
2025-07-21 12:59:54,014 - INFO - Performance: Frame 29000, Prediction: False
2025-07-21 13:00:05,311 - INFO - Performance: Frame 30000, Prediction: False
2025-07-21 13:00:12,617 - INFO - Performance: Frame 31000, Prediction: False
2025-07-21 13:00:18,811 - INFO - Performance: Frame 32000, Prediction: False
2025-07-21 13:00:25,386 - INFO - Performance: Frame 33000, Prediction: False
2025-07-21 13:00:32,046 - INFO - Performance: Frame 34000, Prediction: False
2025-07-21 13:00:38,621 - INFO - Performance: Frame 35000, Prediction: False
2025-07-21 13:00:45,215 - INFO - Performance: Frame 36000, Prediction: False
2025-07-21 13:00:51,475 - INFO - Performance: Frame 37000, Prediction: False
2025-07-21 13:00:57,926 - INFO - Performance: Frame 38000, Prediction: False
2025-07-21 13:01:04,826 - INFO - Performance: Frame 39000, Prediction: False
2025-07-21 13:01:04,904 - INFO - Bind UI updated for esp to E
2025-07-21 13:01:07,528 - INFO - Bind UI updated for esp to BACKSPACE
2025-07-21 13:01:09,648 - INFO - Bind UI updated for aim to E
2025-07-21 13:01:11,559 - INFO - Performance: Frame 40000, Prediction: False
2025-07-21 13:01:18,099 - INFO - Performance: Frame 41000, Prediction: False
2025-07-21 13:01:24,563 - INFO - Performance: Frame 42000, Prediction: False
2025-07-21 13:01:31,303 - INFO - Performance: Frame 43000, Prediction: False
2025-07-21 13:01:37,552 - INFO - Performance: Frame 44000, Prediction: False
2025-07-21 13:01:43,866 - INFO - Performance: Frame 45000, Prediction: False
2025-07-21 13:01:51,550 - INFO - Performance: Frame 46000, Prediction: False
2025-07-21 13:01:51,773 - INFO - Bind UI updated for aim to RIGHT CLICK
2025-07-21 13:01:59,433 - INFO - Performance: Frame 47000, Prediction: False
2025-07-21 13:02:05,667 - INFO - Performance: Frame 48000, Prediction: False
2025-07-21 13:02:14,999 - INFO - Performance: Frame 49000, Prediction: False
2025-07-21 13:02:23,743 - INFO - Performance: Frame 50000, Prediction: False
2025-07-21 13:02:29,965 - INFO - Performance: Frame 51000, Prediction: False
2025-07-21 13:02:36,086 - INFO - Performance: Frame 52000, Prediction: False
2025-07-21 13:02:42,431 - INFO - Performance: Frame 53000, Prediction: False
2025-07-21 13:02:48,606 - INFO - Performance: Frame 54000, Prediction: False
2025-07-21 13:02:55,993 - INFO - Performance: Frame 55000, Prediction: False
2025-07-21 13:03:03,309 - INFO - Performance: Frame 56000, Prediction: False
2025-07-21 13:03:10,490 - INFO - Performance: Frame 57000, Prediction: False
2025-07-21 13:03:17,337 - INFO - Performance: Frame 58000, Prediction: False
